Code ALF;Statut;Libellé ALF;Libellé Commercial;Texte Commercial;Famille;Type de produit;Conclusion;Univers;Marché;Code Mercure;Code ADV;Code VAD;Engagement;Jour de facturation;Tarif;Date de fin;Non affiché;Score CRM;CGV;Type de commande
IR137815;C;FM Sosh Série 2h 1Go bloqué 1,99 eur (mig);Forfait Mobile bloqué Série Sosh 2h 1Go, sans engagement;Blocage au-delà de 2h d'appels voix en France métropolitaine et depuis les zones Europe, DOM vers la France métropolitaine et ces mêmes zones.\r\nDéblocage possible avec pass, options ou rechargement.\r\n\r\nSMS/MMS illimités en France métropolitaine et depuis les zones Europe, DOM vers la France métropolitaine et ces mêmes zones.\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Forfait Mobile Sosh (migration);Offres;;Internet;R;;;;;0;1,99 eur/mois;;0;;RC_Forfaits_Sosh.pdf;Mobile
IR137816;C;FM Sosh 2h 1Go bloqué 1,99 eur (acq);Forfait Mobile bloqué Sosh 2h 1Go, sans engagement;Blocage au-delà de 2h d'appels voix en France métropolitaine et depuis les zones Europe, DOM vers la France métropolitaine et ces mêmes zones.\r\nDéblocage possible avec pass, options ou rechargement.\r\n\r\nSMS/MMS illimités en France métropolitaine et depuis les zones Europe, DOM vers la France métropolitaine et ces mêmes zones.\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Forfait Mobile Sosh (acquisition);Offres;;Internet;R;;;;;0;1,99 eur/mois;;0;;RC_Forfaits_Sosh.pdf;Mobile
IR137817;C;Multi-SIM internet extra +1Go (OPEN) 0 eur;Option Multi-SIM internet extra +1 Go pour Forfait Mobile Packs Open (sans engagement) : offert;;Options Mobile Open;Options;;Internet;R;;;;;0;0,00 eur/mois;;0;;;Internet
IR137818;C;Multi-SIM internet extra +1Go (FM/FMR) 0 eur;Option Multi-SIM internet extra +1 Go pour Forfait Mobile (sans engagement) : offert;;Options Mobile Orange;Options;;Internet;R;;;;;0;0,00 eur/mois;;0;;;Mobile
IR137819;C;Multi-SIM internet extra +1Go (FM/FMR) 5 eur;Option Multi-SIM internet extra +1 Go pour Forfait Mobile (sans engagement) : 5 eur/mois;;Options Mobile Orange;Options;;Internet;R;;;;;0;5,00 eur/mois;;0;;;Mobile
IR137820;C;Multi-SIM internet extra +1Go (OPEN) 5 eur;Option Multi-SIM internet extra +1 Go pour Forfait Mobile Packs Open (sans engagement) : 5 eur/mois;;Options Mobile Open;Options;;Internet;R;;;;;0;5,00 eur/mois;;0;;;Internet
IR137821;C;Ligue 1+ (Offres Internet) 14,99 eur (engagement 12 mois);Ligue 1+ pour Offres Internet : 14,99 eur/mois engagement 12 mois puis 19,99 eur/mois avec engagement mensuel;Disponible sur tous vos écrans : 2 usages simultanés par foyer sur tous vos équipements (ordinateur, mobile, tablette, clé TV…);Options TV;Options;;Internet;R;;;;;0;14,99 eur/mois;;0;;;Internet
IR137822;C;Ligue 1+ (Offres Internet) 19,99 eur (engagement mensuel);Ligue 1+ pour Offres Internet : 19,99 eur/mois avec engagement mensuel;Disponible sur tous vos écrans : 2 usages simultanés par foyer sur tous vos équipements (ordinateur, mobile, tablette, clé TV…);Options TV;Options;;Internet;R;;;;;0;19,99 eur/mois;;0;;;Internet
IR137830;C;Option vidéoprotection extérieure Orange Maison Protégée (acq);Option vidéoprotection extérieure Orange Maison Protégée 8 eur/mois (sans engagement);Grâce à la Option vidéoprotection extérieure, vous renforcez la sécurisation de votre maison tout en respectant votre vie privée :\r\n\r\nOption proposant jusqu'à 3 caméras\r\nRéduisez les risques d'intrusion à votre domicile\r\nPilotée à 100% par votre application\r\n\r\nCompatible uniquement avec la formule maison.;Maison Protégée;Options;;Internet;R;;;;;0;8,00 eur/mois;;0;;;Internet
IR137832;C;PCM : Smartphones Google Pixel 10;PCM : Smartphones Google Pixel 10;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
